Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07
34400,,6298,426,05-08-2017 10:04:45,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:02:16,22.33767,44.70491,0.260,,,0,401663686.00,22.33767,44.70491,22.33767,44.70491,48,3,1,4,0,-127,663686,3652,10524,1267,6,803,00,01,C1,C0,A7,0D,03
34418,,6298,420,05-08-2017 10:04:54,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:01:24,22.29944,44.65533,0.119,,,B,401663952.74,22.29944,44.65533,22.29944,44.65533,8,3,1,2,0,-130,663952.7,14270,152816,1332,37,3397,00,01,B5,B4,83,7C,78
34400,,6298,426,05-08-2017 10:05:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:02:16,22.33767,44.70491,0.260,,,0,401663686.00,22.33767,44.70491,22.33767,44.70491,48,3,1,4,0,-127,663686,3652,10524,1267,6,803,01,30,ED,DC,D9,80,12
34407,,6298,0,05-08-2017 10:06:52,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:06:52,22.29229,44.70544,0.503,,,B,401663947.20,22.29229,44.70544,22.29229,44.70544,8,3,1,1,0,-127,663947.2,5413,8807,3326,82,4860,02,CC,3D,EB,80,CF,6C
34403,,6298,541,05-08-2017 10:07:08,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:08:06,22.46837,44.7248,0.212,,,0,401663540.05,22.46837,44.7248,22.46837,44.7248,46,3,1,4,0,-121,663540.1,2067,2857,1495,82,335,02,C8,27,DF,DC,FA,E7
34418,,6298,56,05-08-2017 10:07:55,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:08:22,22.3733,44.73239,0.245,,,B,401663970.72,22.3733,44.73239,22.3733,44.73239,6,3,1,2,0,-123,663970.7,2518,3847,1647,179,1957,03,07,3E,3A,FE,4C,00
34418,,6298,56,05-08-2017 10:08:51,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:08:22,22.3733,44.73239,0.245,,,B,401663970.72,22.3733,44.73239,22.3733,44.73239,6,3,1,2,0,-123,663970.7,2518,3847,1647,179,1957,00,01,D9,D8,C0,45,AE
34403,,6298,541,05-08-2017 10:09:04,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:08:06,22.46837,44.7248,0.212,,,0,401663540.05,22.46837,44.7248,22.46837,44.7248,46,3,1,4,0,-121,663540.1,2067,2857,1495,82,335,00,01,A5,A4,5C,FF,80
34403,,6298,541,05-08-2017 10:13:11,MA,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:08:06,22.46837,44.7248,0.212,,,0,401663540.05,22.46837,44.7248,22.46837,44.7248,46,3,1,4,0,-121,663540.1,2067,2857,1495,82,335,00,01,C9,C8,A1,99,2C
34403,,6298,600,05-08-2017 10:30:12,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:32:54,22.38629,44.68311,0.117,,,1,401663516.61,22.38629,44.68311,22.38629,44.68311,46,3,1,6,0,-127,663516.6,1390,1895,1018,67,278,01,2B,8B,A1,A5,31,8B
34403,,6298,600,05-08-2017 10:32:12,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 10:32:54,22.38629,44.68311,0.117,,,1,401663516.61,22.38629,44.68311,22.38629,44.68311,46,3,1,6,0,-127,663516.6,1390,1895,1018,67,278,03,06,6E,6B,4B,29,53
